Sacramento, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
201005,61.5,-4.3
201006,72.5,0.5
201007,73.9,-1.7
201008,72.0,-3.1
201009,72.6,0.4
201010,64.5,0.2
201011,52.4,-1.2
201012,49.9,2.9
201101,46.2,-1.1
201102,48.2,-2.9
201103,53.3,-1.8
201104,58.1,-1.1
201105,61.8,-4.0
201106,69.2,-2.8
201107,74.7,-0.9
201108,74.4,-0.7
201109,74.5,2.3
201110,64.5,0.2
201111,51.5,-2.1
201112,45.6,-1.4
201201,47.8,0.5
201202,51.3,0.2
201203,52.9,-2.2
201204,59.4,0.2
201205,66.9,1.1
201206,71.1,-0.9
201207,74.5,-1.1
201208,75.9,0.8
201209,72.9,0.7
201210,64.8,0.5
201211,55.3,1.7
201212,47.2,0.2
201301,44.1,-3.2
201302,49.1,-2.0
201303,56.9,1.8
201304,63.8,4.6
201305,68.4,2.6
201306,73.4,1.4
201307,76.2,0.6
201308,74.7,-0.4
201309,71.1,-1.1
201310,62.8,-1.5
201311,55.6,2.0
201312,45.4,-1.6
201401,50.8,3.5
201402,53.8,2.7
201403,58.7,3.6
201404,61.8,2.6
201405,69.0,3.2
201406,73.7,1.7
201407,77.2,1.6
201408,75.2,0.1
201409,74.2,2.0
201410,67.9,3.6
201411,56.3,2.7
201412,53.5,6.5
201501,49.9,2.6
201502,55.7,4.6
201503,61.3,6.2
201504,61.9,2.7
201505,64.9,-0.9
201506,76.2,4.2
201507,77.2,1.6
201508,76.5,1.4
201509,73.8,1.6
201510,69.9,5.6
201511,51.2,-2.4
201512,46.7,-0.3
201601,50.3,3.0
201602,54.7,3.6
201603,57.0,1.9
201604,63.0,3.8
201605,68.2,2.4
201606,74.2,2.2
201607,75.8,0.2
201608,74.0,-1.1
201609,71.4,-0.8
201610,62.8,-1.5
201611,54.8,1.2
201612,45.5,-1.5
201701,46.8,-0.5
201702,52.2,1.1
201703,56.6,1.5
201704,58.8,-0.4
201705,67.5,1.7
201706,74.5,2.5
201707,78.4,2.8
201708,77.0,1.9
201709,73.5,1.3
201710,64.0,-0.3
201711,54.8,1.2
201712,47.1,0.1
201801,50.0,2.7
201802,50.1,-1.0
201803,53.2,-1.9
201804,58.7,-0.5
201805,65.5,-0.3
201806,72.7,0.7
201807,77.8,2.2
201808,73.7,-1.4
201809,71.2,-1.0
201810,65.2,0.9
201811,54.0,0.4
201812,48.8,1.8
201901,50.2,2.9
201902,47.7,-3.4
201903,53.7,-1.4
201904,62.4,3.2
201905,62.9,-2.9
201906,73.8,1.8
201907,76.2,0.6
201908,77.9,2.8
201909,72.2,0.0
201910,63.1,-1.2
201911,55.7,2.1
201912,50.2,3.2
202001,48.7,1.4
202002,53.9,2.8
202003,54.0,-1.1
202004,61.9,2.7
202005,69.2,3.4
202006,74.5,2.5
202007,76.6,1.0
202008,79.5,4.4
202009,75.8,3.6
202010,68.8,4.5
202011,52.7,-0.9
202012,48.3,1.3
202101,48.8,1.5
202102,52.2,1.1
202103,53.6,-1.5
202104,62.3,3.1
202105,69.4,3.6
202106,74.0,2.0
202107,77.2,1.6
202108,75.7,0.6
202109,73.5,1.3
202110,62.2,-2.1
