Sacramento, California, Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
201106,1.50,1.27
201107,0.00,0.00
201108,0.00,-0.04
201109,0.01,-0.08
201110,1.33,0.49
201111,0.74,-0.86
201112,0.27,-3.16
201201,2.43,-1.23
201202,0.92,-2.57
201203,4.07,1.39
201204,2.43,1.17
201205,0.00,-0.75
201206,0.03,-0.20
201207,0.03,0.03
201208,0.00,-0.04
201209,0.00,-0.09
201210,1.14,0.30
201211,3.97,2.37
201212,6.15,2.72
201301,0.96,-2.70
201302,0.36,-3.13
201303,1.38,-1.30
201304,0.69,-0.57
201305,0.30,-0.45
201306,0.22,-0.01
201307,0.00,0.00
201308,0.00,-0.04
201309,0.59,0.50
201310,0.00,-0.84
201311,0.88,-0.72
201312,0.43,-3.00
201401,0.15,-3.51
201402,4.14,0.65
201403,1.77,-0.91
201404,1.83,0.57
201405,0.00,-0.75
201406,0.00,-0.23
201407,0.01,0.01
201408,0.00,-0.04
201409,0.46,0.37
201410,0.53,-0.31
201411,1.25,-0.35
201412,8.60,5.17
201501,0.00,-3.66
201502,2.82,-0.67
201503,0.22,-2.46
201504,1.85,0.59
201505,0.07,-0.68
201506,0.07,-0.16
201507,0.00,0.00
201508,0.00,-0.04
201509,0.04,-0.05
201510,0.13,-0.71
201511,1.57,-0.03
201512,1.76,-1.67
201601,5.44,1.78
201602,0.82,-2.67
201603,5.07,2.39
201604,1.03,-0.23
201605,0.39,-0.36
201606,0.00,-0.23
201607,0.00,0.00
201608,0.00,-0.04
201609,0.00,-0.09
201610,4.72,3.88
201611,1.12,-0.48
201612,3.61,0.18
201701,9.92,6.26
201702,8.25,4.76
201703,2.38,-0.30
201704,2.93,1.67
201705,0.05,-0.70
201706,0.10,-0.13
201707,0.00,0.00
201708,0.00,-0.04
201709,0.00,-0.09
201710,0.15,-0.69
201711,2.13,0.53
201712,0.14,-3.29
201801,5.20,1.54
201802,0.60,-2.89
201803,5.14,2.46
201804,2.00,0.74
201805,0.60,-0.15
201806,0.00,-0.23
201807,0.00,0.00
201808,0.00,-0.04
201809,0.00,-0.09
201810,0.04,-0.80
201811,2.47,0.87
201812,2.37,-1.06
201901,4.22,0.56
201902,7.84,4.35
201903,3.76,1.08
201904,0.77,-0.49
201905,3.17,2.42
201906,0.00,-0.23
201907,0.00,0.00
201908,0.00,-0.04
201909,0.12,0.03
201910,0.00,-0.84
201911,0.65,-0.95
201912,4.35,0.92
202001,1.14,-2.52
202002,0.00,-3.49
202003,1.58,-1.10
202004,1.68,0.42
202005,0.32,-0.43
202006,0.00,-0.23
202007,0.00,0.00
202008,0.02,-0.02
202009,0.00,-0.09
202010,0.00,-0.84
202011,0.54,-1.06
202012,1.54,-1.89
202101,2.50,-1.16
202102,0.91,-2.58
202103,1.06,-1.62
202104,0.01,-1.25
202105,0.01,-0.74
202106,0.00,-0.23
202107,0.00,0.00
202108,0.00,-0.04
202109,0.05,-0.04
202110,6.71,5.87
202111,0.68,-0.92
202112,6.98,3.55
202201,0.05,-3.61
202202,0.00,-3.49
202203,1.38,-1.30
202204,0.65,-0.61
202205,0.01,-0.74
202206,0.09,-0.14
202207,0.00,0.00
202208,0.00,-0.04
202209,0.28,0.19
202210,0.00,-0.84
202211,0.95,-0.65
202212,7.79,4.36
202301,5.12,1.46
